ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_EN,ADM2_TYPE,PROV_CODE,OLD_PROVIN,PROV_TYPE,NOTES,SOURCE,_sum,_mean
MG,Madagascar,MG52,Androy,Region,MG52514,Tsihombe,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,235309.503994942,72.0482253505639
MG,Madagascar,MG52,Androy,Region,MG52516,Ambovombe-Androy,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,820767.50722456,98.130978864725
MG,Madagascar,MG52,Androy,Region,MG52518,Bekily,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,234198.049581051,35.5437926211945
MG,Madagascar,MG53,Anosy,Region,MG53515,Taolagnaro,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,354735.488176942,46.4252700139958
MG,Madagascar,MG53,Anosy,Region,MG53517,Betroka,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,303651.179261208,17.4592444377419
MG,Madagascar,MG53,Anosy,Region,MG53519,Amboasary-Atsimo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,332055.307462931,26.2307692126496
MG,Madagascar,MG54,Menabe,Region,MG54502,Manja,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,95851.9854477644,8.43025377728799
MG,Madagascar,MG54,Menabe,Region,MG54508,Morondava,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,251291.259701967,35.4230701581572
MG,Madagascar,MG54,Menabe,Region,MG54509,Mahabo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,225526.887845755,13.1717607666017
MG,Madagascar,MG54,Menabe,Region,MG54510,Belo Sur Tsiribihina,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,398231.323394656,40.1281059446449
MG,Madagascar,MG54,Menabe,Region,MG54511,Miandrivazo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,223376.402459383,14.6457121990154
MG,Madagascar,MG71,Diana,Region,MG71713,Antsiranana II,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,311376.248517692,46.2188286355488
MG,Madagascar,MG71,Diana,Region,MG71715,Antsiranana I,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,46769.5321016312,537.580828754381
MG,Madagascar,MG71,Diana,Region,MG71717,Ambilobe,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,367360.547100306,38.1435517703567
MG,Madagascar,MG71,Diana,Region,MG71718,Nosy-Be,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,168113.112037659,436.657433864049
MG,Madagascar,MG71,Diana,Region,MG71719,Ambanja,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,312303.592450142,43.2254107197428
MG,Madagascar,MG72,Sava,Region,MG72710,Antalaha,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,290237.264348507,35.3000808013266
MG,Madagascar,MG72,Sava,Region,MG72711,Sambava,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,348603.655319214,61.7216103610506
MG,Madagascar,MG72,Sava,Region,MG72712,Andapa,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,242723.038254976,49.5859117987694
MG,Madagascar,MG72,Sava,Region,MG72716,Vohemar,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,416652.845522285,41.9674501936225
