ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_EN,ADM2_TYPE,PROV_CODE,OLD_PROVIN,PROV_TYPE,NOTES,SOURCE,_sum,_mean
MG,Madagascar,MG11,Analamanga,Region,MG11117,Antananarivo Atsimondrano,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,808179.029512405,1539.38862764268
MG,Madagascar,MG12,Vakinankaratra,Region,MG12108,Antsirabe I,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,67142.9146175385,406.926755257809
MG,Madagascar,MG12,Vakinankaratra,Region,MG12109,Betafo,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,308904.173936129,59.8651499876218
MG,Madagascar,MG12,Vakinankaratra,Region,MG12110,Ambatolampy,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,284456.629329681,139.030610620568
MG,Madagascar,MG12,Vakinankaratra,Region,MG12114,Antanifotsy,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,400345.11418438,115.673248825305
MG,Madagascar,MG12,Vakinankaratra,Region,MG12116,Faratsiho,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,209595.609704971,91.1285259586832
MG,Madagascar,MG12,Vakinankaratra,Region,MG12118,Antsirabe II,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,781569.507200241,254.334366156928
MG,Madagascar,MG12,Vakinankaratra,Region,MG12120,Mandoto,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,246952.896862507,41.1313952136087
MG,Madagascar,MG13,Itasy,Region,MG13105,Arivonimamo,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,361071.978638649,136.305012698622
MG,Madagascar,MG13,Itasy,Region,MG13112,Miarinarivo,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,325039.301407814,102.730499812836
MG,Madagascar,MG13,Itasy,Region,MG13113,Soavinandriana,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,209860.838303089,91.2041887453669
MG,Madagascar,MG14,Bongolava,Region,MG14111,Tsiroanomandidy,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,544065.190300465,41.7355929963535
MG,Madagascar,MG14,Bongolava,Region,MG14119,Fenoarivobe,District,"1",Antananarivo,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,237803.412921906,25.5867670456107
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21201,Fianarantsoa I,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,74020.7385444641,685.377208745038
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21205,Ambalavao,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,276259.232779026,45.7155771601896
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21208,Ambohimahasoa,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,213205.160539627,88.0649155471405
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21219,Ikalamavony,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,194302.242340863,15.8200816105571
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21220,Lalangina,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,146473.588983059,111.386759682935
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21224,Vohibato,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,478075.400749207,207.678280082192
MG,Madagascar,MG21,Haute Matsiatra,Region,MG21225,Isandra,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,118308.3808918,70.4635979105419
MG,Madagascar,MG22,Amoron I Mania,Region,MG22202,Ambatofinandrahana,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,260271.322756171,20.2293893017388
MG,Madagascar,MG22,Amoron I Mania,Region,MG22203,Ambositra,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,310997.968195915,85.2750118442323
MG,Madagascar,MG22,Amoron I Mania,Region,MG22204,Fandriana,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,190349.686729908,67.2613734027943
MG,Madagascar,MG22,Amoron I Mania,Region,MG22223,Manandriana,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,101751.789813042,82.79234321647
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23206,Ifanadiana,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,207415.406084538,41.8091929216967
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23207,Nosy-Varika,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,356170.936639786,74.6533088744049
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23209,Mananjary,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,467169.496402264,68.289650109964
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23210,Manakara Atsimo,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,586283.835834026,147.381557524894
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23211,Ikongo,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,481538.007640839,121.202619592459
MG,Madagascar,MG23,Vatovavy Fitovinany,Region,MG23212,Vohipeno,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,253696.187141418,174.481559244442
