time,ADM1_EN,ADM2_EN,precipitation,time2,time3
2023-03-10 03:00:00,Haute Matsiatra,Lalangina,1.08922266499657,2023-03-10,03-10
2023-03-10 03:00:00,Haute Matsiatra,Vohibato,0.593616863026431,2023-03-10,03-10
2023-03-10 03:00:00,Ihorombe,Iakora,0.262672963774285,2023-03-10,03-10
2023-03-10 03:00:00,Ihorombe,Ihosy,0.0161496340994884,2023-03-10,03-10
2023-03-10 03:00:00,Ihorombe,Ivohibe,0.383983752200086,2023-03-10,03-10
2023-03-10 03:00:00,Itasy,Arivonimamo,1.7324497377888,2023-03-10,03-10
2023-03-10 03:00:00,Itasy,Miarinarivo,0.815352036691779,2023-03-10,03-10
2023-03-10 03:00:00,Itasy,Soavinandriana,0.340171868649229,2023-03-10,03-10
2023-03-10 03:00:00,Melaky,Ambatomainty,0.00905532671405548,2023-03-10,03-10
2023-03-10 03:00:00,Melaky,Antsalova,0.248237757077135,2023-03-10,03-10
2023-03-10 03:00:00,Melaky,Besalampy,0.0378089778563821,2023-03-10,03-10
2023-03-10 03:00:00,Melaky,Maintirano,0.347932516608299,2023-03-10,03-10
2023-03-10 03:00:00,Melaky,Morafenobe,0.00226162269627523,2023-03-10,03-10
2023-03-10 03:00:00,Menabe,Belo Sur Tsiribihina,0.0872637466673041,2023-03-10,03-10
2023-03-10 03:00:00,Menabe,Mahabo,0.279990691536417,2023-03-10,03-10
2023-03-10 03:00:00,Menabe,Manja,0.496448997150695,2023-03-10,03-10
2023-03-10 03:00:00,Menabe,Miandrivazo,0.0289255877064963,2023-03-10,03-10
2023-03-10 03:00:00,Menabe,Morondava,0.487120504185441,2023-03-10,03-10
2023-03-10 03:00:00,Sava,Andapa,2.37707847830009E-05,2023-03-10,03-10
2023-03-10 03:00:00,Sava,Antalaha,0.127192576422862,2023-03-10,03-10
2023-03-10 03:00:00,Sava,Sambava,8.94518124345595E-05,2023-03-10,03-10
2023-03-10 03:00:00,Sava,Vohemar,4.59011679402355E-06,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Analalava,0.0148009953028459,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Antsohihy,0.00171724231005078,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Bealanana,0.00624784433291227,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Befandriana Nord,0.000523510420431481,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Mampikony,0.00117735256805109,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Mandritsara,0.0223628805028437,2023-03-10,03-10
2023-03-10 03:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.00150656500255089,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Ambatolampy,0.85470495224805,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Antanifotsy,0.470986550235046,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Antsirabe I,0.646347823028918,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Antsirabe II,0.490136332840294,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Betafo,0.674374048544892,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Faratsiho,1.30090159163399,2023-03-10,03-10
2023-03-10 03:00:00,Vakinankaratra,Mandoto,0.181899309362729,2023-03-10,03-10
2023-03-10 03:00:00,Vatovavy Fitovinany,Ifanadiana,1.40599073201712,2023-03-10,03-10
